2024-04-12-10-27: epoch: 1 |loss 8.887101 | hm_loss 0.584693 | wh_loss 0.706373 | off_loss 0.204035 | id_loss 5.440115 | time 8.633333 | 
2024-04-12-10-36: epoch: 2 |loss 5.534862 | hm_loss 0.485455 | wh_loss 0.642338 | off_loss 0.199482 | id_loss 3.450808 | time 8.500000 | 
2024-04-12-10-44: epoch: 3 |loss 3.830865 | hm_loss 0.441426 | wh_loss 0.596335 | off_loss 0.195622 | id_loss 2.407590 | time 8.500000 | 
2024-04-12-10-53: epoch: 4 |loss 2.870989 | hm_loss 0.421309 | wh_loss 0.598029 | off_loss 0.194290 | id_loss 1.797551 | time 8.483333 | 
2024-04-12-11-01: epoch: 5 |loss 2.180407 | hm_loss 0.395385 | wh_loss 0.570590 | off_loss 0.192452 | id_loss 1.382374 | time 8.500000 | 
2024-04-12-11-10: epoch: 6 |loss 1.743137 | hm_loss 0.381095 | wh_loss 0.557823 | off_loss 0.189940 | id_loss 1.119507 | time 8.500000 | 
2024-04-12-11-18: epoch: 7 |loss 1.384164 | hm_loss 0.366721 | wh_loss 0.539947 | off_loss 0.186635 | id_loss 0.908466 | time 8.500000 | 
2024-04-12-11-27: epoch: 8 |loss 1.155305 | hm_loss 0.358685 | wh_loss 0.545244 | off_loss 0.187139 | id_loss 0.768503 | time 8.483333 | 
2024-04-12-11-35: epoch: 9 |loss 0.941410 | hm_loss 0.346683 | wh_loss 0.538810 | off_loss 0.185492 | id_loss 0.648746 | time 8.500000 | 
2024-04-12-11-44: epoch: 10 |loss 0.775151 | hm_loss 0.335943 | wh_loss 0.529011 | off_loss 0.184326 | id_loss 0.559947 | time 8.483333 | 
2024-04-12-11-53: epoch: 11 |loss 0.648604 | hm_loss 0.329109 | wh_loss 0.528884 | off_loss 0.183589 | id_loss 0.490217 | time 8.500000 | 
2024-04-12-12-01: epoch: 12 |loss 0.533350 | hm_loss 0.319916 | wh_loss 0.515414 | off_loss 0.182164 | id_loss 0.434759 | time 8.500000 | 
2024-04-12-12-10: epoch: 13 |loss 0.441621 | hm_loss 0.314593 | wh_loss 0.515330 | off_loss 0.182106 | id_loss 0.385043 | time 8.500000 | 
2024-04-12-12-18: epoch: 14 |loss 0.352800 | hm_loss 0.306836 | wh_loss 0.498823 | off_loss 0.179701 | id_loss 0.347132 | time 8.500000 | 
2024-04-12-12-27: epoch: 15 |loss 0.279750 | hm_loss 0.301285 | wh_loss 0.496393 | off_loss 0.180199 | id_loss 0.310537 | time 8.500000 | 
2024-04-12-12-35: epoch: 16 |loss 0.213162 | hm_loss 0.295535 | wh_loss 0.507407 | off_loss 0.178496 | id_loss 0.280895 | time 8.500000 | 
2024-04-12-12-44: epoch: 17 |loss 0.154546 | hm_loss 0.290579 | wh_loss 0.489211 | off_loss 0.178258 | id_loss 0.258781 | time 8.500000 | 
2024-04-12-12-52: epoch: 18 |loss 0.088349 | hm_loss 0.283842 | wh_loss 0.483218 | off_loss 0.177003 | id_loss 0.233089 | time 8.500000 | 
2024-04-12-13-01: epoch: 19 |loss 0.056506 | hm_loss 0.285571 | wh_loss 0.483479 | off_loss 0.176352 | id_loss 0.221518 | time 8.500000 | 
2024-04-12-13-09: epoch: 20 |loss 0.007161 | hm_loss 0.281100 | wh_loss 0.486026 | off_loss 0.175932 | id_loss 0.204417 | time 8.483333 | 
2024-04-12-13-18: epoch: 21 |loss -0.056915 | hm_loss 0.270481 | wh_loss 0.470487 | off_loss 0.173583 | id_loss 0.182553 | time 8.500000 | 
2024-04-12-13-26: epoch: 22 |loss -0.072018 | hm_loss 0.269683 | wh_loss 0.470732 | off_loss 0.174683 | id_loss 0.172881 | time 8.500000 | 
2024-04-12-13-35: epoch: 23 |loss -0.079462 | hm_loss 0.268789 | wh_loss 0.461568 | off_loss 0.173532 | id_loss 0.172379 | time 8.500000 | 
2024-04-12-13-43: epoch: 24 |loss -0.088945 | hm_loss 0.267427 | wh_loss 0.464707 | off_loss 0.173202 | id_loss 0.168683 | time 8.500000 | 
2024-04-12-13-52: epoch: 25 |loss -0.092015 | hm_loss 0.267014 | wh_loss 0.464301 | off_loss 0.173934 | id_loss 0.167666 | time 8.500000 | 
2024-04-12-14-00: epoch: 26 |loss -0.099519 | hm_loss 0.265010 | wh_loss 0.461814 | off_loss 0.173515 | id_loss 0.166790 | time 8.500000 | 
2024-04-12-14-09: epoch: 27 |loss -0.104296 | hm_loss 0.265468 | wh_loss 0.462801 | off_loss 0.173676 | id_loss 0.164116 | time 8.516667 | 
2024-04-12-14-19: epoch: 28 |loss -0.115545 | hm_loss 0.263257 | wh_loss 0.466158 | off_loss 0.173003 | id_loss 0.160526 | time 9.983333 | 
2024-04-12-14-28: epoch: 29 |loss -0.115749 | hm_loss 0.263698 | wh_loss 0.464108 | off_loss 0.173240 | id_loss 0.161288 | time 8.800000 | 
2024-04-12-14-37: epoch: 30 |loss -0.121591 | hm_loss 0.263435 | wh_loss 0.466427 | off_loss 0.172993 | id_loss 0.158984 | time 8.700000 | 
