IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,Ids,FM,MOTA,MOTP,IDt,IDa,IDm
69.0,78.6,61.5,74.3,95.0,339,151,133,55,2130,13872,477,1276,69.5,0.192,295,103,76
72.0,81.0,64.8,75.8,94.7,339,155,129,55,2304,13084,419,1159,70.8,0.192,246,105,70
72.2,81.3,65.0,75.9,95.0,339,153,132,54,2168,13007,394,1162,71.2,0.199,254,106,71
71.5,78.9,65.4,77.1,93.0,339,157,136,46,3115,12391,395,1100,70.6,0.195,258,115,76
73.2,80.7,66.9,77.5,93.5,339,166,127,46,2898,12160,379,1128,71.4,0.203,239,107,71
70.6,77.1,65.1,78.0,92.4,339,164,130,45,3490,11881,381,1075,70.9,0.201,233,110,64
73.8,81.0,67.8,77.7,92.9,339,161,127,51,3196,12027,397,1079,71.1,0.209,222,123,64
73.0,79.8,67.2,77.9,92.5,339,163,126,50,3418,11930,371,1074,70.9,0.212,211,119,56
73.4,81.2,66.9,77.1,93.6,339,164,126,49,2829,12352,342,1066,71.3,0.204,204,123,59
74.2,82.1,67.7,77.2,93.6,339,161,126,52,2855,12343,355,1078,71.2,0.202,199,115,57
73.3,80.2,67.5,78.1,92.8,339,165,126,48,3257,11832,396,1103,71.3,0.207,197,118,54
74.2,81.5,68.1,77.9,93.2,339,163,129,47,3071,11927,373,1059,71.6,0.194,194,124,44
73.8,80.6,68.0,78.0,92.5,339,166,126,47,3400,11868,404,1090,71.0,0.201,205,118,50
74.1,81.2,68.2,78.0,92.8,339,164,124,51,3271,11887,379,1048,71.3,0.203,186,128,47
74.6,81.1,69.0,78.2,92.0,339,167,123,49,3695,11762,369,1067,70.7,0.206,183,137,51
73.4,79.6,68.1,78.4,91.7,339,169,123,47,3837,11688,414,1094,70.5,0.209,196,124,44
74.7,81.1,69.2,78.4,92.0,339,169,127,43,3689,11647,410,1078,70.9,0.203,193,135,49
75.1,81.5,69.6,78.7,92.1,339,169,125,45,3640,11516,393,1055,71.2,0.204,189,137,43
75.8,82.3,70.2,79.0,92.6,339,172,123,44,3424,11334,408,1061,71.9,0.201,203,132,49
75.2,81.5,69.8,78.9,92.1,339,168,120,51,3675,11420,395,1036,71.3,0.204,178,130,38
74.6,81.1,69.2,78.8,92.3,339,171,117,51,3537,11468,403,1033,71.5,0.202,176,137,42
75.4,81.6,70.1,79.1,92.1,339,171,127,41,3642,11317,431,1041,71.5,0.201,196,144,43
75.3,81.7,69.8,78.8,92.3,339,170,123,46,3565,11438,425,1052,71.5,0.204,196,133,45
74.5,80.9,69.1,78.7,92.2,339,169,123,47,3594,11484,428,1070,71.3,0.2,204,141,41
75.2,81.8,69.6,78.6,92.3,339,169,123,47,3542,11559,423,1045,71.3,0.202,201,145,41
74.8,81.2,69.4,78.8,92.2,339,171,122,46,3587,11464,440,1050,71.3,0.203,201,150,40
75.3,81.6,69.8,78.9,92.2,339,172,123,44,3630,11416,426,1026,71.4,0.203,198,146,42
75.0,81.4,69.6,78.8,92.2,339,171,122,46,3604,11456,425,1042,71.3,0.203,203,138,44
74.5,80.6,69.2,78.9,91.8,339,169,127,43,3783,11419,431,1078,71.1,0.2,206,145,42
74.8,81.1,69.4,78.8,92.1,339,171,121,47,3642,11448,429,1029,71.3,0.201,202,139,43
